EnsembleID,S518NP,P3005NP,P3185NP,P3190NP,P3236NP,P3071NP
ENSG00000005339,7.568309845,7.334085946,7.306843037,7.754849711,8.011313849,7.330694796
ENSG00000005379,1.470433385,3.253816588,1.773077512,3.074702331,5.654113595,3.170636651
ENSG00000005381,4.084796163,3.253816588,1.773077512,3.515182447,3.598591771,3.528232095
ENSG00000005421,0.747543474,0.491495743,0.491495743,0.491495743,0.491495743,0.491495743
ENSG00000005436,2.889971798,3.253816588,1.773077512,3.852163487,3.552312346,3.170636651
ENSG00000005448,0.491495743,0.491495743,2.895625316,2.142135943,1.352299484,0.491495743
ENSG00000005469,0.491495743,2.771436164,0.491495743,2.891885759,2.488673413,3.170636651
ENSG00000005471,0.747543474,3.253816588,1.773077512,3.382757049,2.029594888,0.491495743
ENSG00000005483,7.462854528,7.450460498,7.618842292,7.99492803,7.902534814,7.742578851
ENSG00000005486,0.491495743,0.491495743,1.773077512,1.268225633,2.583770537,0.491495743
ENSG00000005513,0.491495743,0.491495743,0.491495743,1.268225633,0.491495743,0.491495743
ENSG00000005700,6.046883654,4.689565934,4.886198644,5.769550583,5.083738088,4.990957457
ENSG00000005801,2.835829041,3.253816588,3.240861564,2.891885759,2.583770537,0.491495743
ENSG00000005810,7.233430139,7.334085946,7.192432928,7.720966491,7.774838244,7.636391977
ENSG00000005812,7.166459189,6.054621762,6.424696705,6.436955143,6.450424994,6.451584939
ENSG00000005844,5.64400693,6.370434005,5.851491359,6.368569827,7.340080726,5.101519966
ENSG00000005882,3.489925425,4.349280359,3.752473184,3.636467861,4.218408305,2.69412117
ENSG00000005884,0.964924616,0.491495743,0.491495743,1.268225633,1.352299484,0.491495743
ENSG00000005889,6.655191328,5.569632511,4.981154639,5.37559174,4.73585729,4.597025657
ENSG00000005893,4.999334895,2.771436164,4.129387603,4.282098492,5.697286642,4.990957457
ENSG00000005961,5.902900866,6.814503091,8.713851961,8.959326817,10.2255209,9.298181239
ENSG00000006007,5.77206334,5.084818068,5.154152048,4.976748242,5.848570479,5.204209196
ENSG00000006015,3.655366457,3.903118235,2.895625316,3.748342975,3.403838674,1.977737121
