EnsembleID,P3191PE,P3003PE,P3074SPE
ENSG00000004975,0.655532735,2.592718099,2.052970289
ENSG00000005007,5.5777974,4.624694053,3.659229116
ENSG00000005020,10.67721076,10.03237664,9.568437944
ENSG00000005022,5.252142559,5.615964971,5.616667975
ENSG00000005059,1.953473238,2.504346384,2.836743814
ENSG00000005073,-0.174883164,-0.60811535,-0.60811535
ENSG00000005075,5.124914514,5.483545502,5.67420246
ENSG00000005100,3.458962925,4.006125614,4.098082979
ENSG00000005102,-0.60811535,0.020729603,0.208055815
ENSG00000005108,-0.174883164,0.020729603,-0.60811535
ENSG00000005156,2.328258804,2.829362318,2.93416459
ENSG00000005175,6.72653262,5.944561461,6.034217972
ENSG00000005187,1.771245913,2.084147754,2.216818509
ENSG00000005189,2.570738113,2.504346384,1.106539334
ENSG00000005194,2.678230882,2.675987667,2.363941681
ENSG00000005206,2.189798189,1.06331659,-0.60811535
ENSG00000005238,5.328379078,4.129427818,3.768932007
ENSG00000005243,0.428047414,1.06331659,1.106539334
ENSG00000005249,12.0757993,11.15154049,10.81084166
ENSG00000005302,4.025162327,4.603580162,4.467043176
ENSG00000005339,6.477737153,6.306514939,5.978212015
ENSG00000005379,1.670704442,1.95673551,2.052970289
ENSG00000005381,1.865234815,2.754712214,1.868100793
ENSG00000005436,2.625485404,2.829362318,3.111246701
ENSG00000005448,0.428047414,0.457217731,1.407277898
ENSG00000005469,2.036624454,1.816971108,2.216818509
ENSG00000005471,0.157852609,1.816971108,2.619625114
ENSG00000005483,7.810364048,7.859192286,7.510330533
ENSG00000005486,2.454586778,2.084147754,2.363941681
ENSG00000005513,-0.174883164,-0.60811535,-0.60811535
ENSG00000005700,5.618852874,5.626470302,5.556743375
ENSG00000005801,1.562627832,1.95673551,1.407277898
ENSG00000005810,7.496482781,7.152098678,6.61435836
ENSG00000005812,6.443865546,5.840118004,5.729530201
ENSG00000005844,4.562832304,4.069093592,5.324924347
ENSG00000005882,4.576791043,4.422526891,3.111246701
ENSG00000005884,0.157852609,0.020729603,-0.60811535
ENSG00000005889,4.161082249,4.373476269,4.499237084
ENSG00000005893,6.451461593,5.483545502,4.499237084
ENSG00000005961,11.57041811,10.00244238,8.907699904
ENSG00000006007,6.328976888,6.049778221,5.461914146
ENSG00000006015,2.678230882,2.201214979,3.477246854
ENSG00000006025,-0.60811535,-0.60811535,1.656011051
ENSG00000006042,-0.174883164,-0.60811535,-0.60811535
ENSG00000006047,-0.174883164,-0.60811535,-0.60811535
ENSG00000006062,2.39280507,2.754712214,3.601082127
ENSG00000006071,-0.60811535,0.020729603,-0.60811535
ENSG00000006118,-0.60811535,0.020729603,0.208055815
ENSG00000006125,7.900530076,7.042616848,6.964933438
ENSG00000006194,1.562627832,2.675987667,1.656011051
ENSG00000006210,-0.60811535,0.457217731,0.726140455
ENSG00000006282,0.851985724,0.020729603,1.407277898
