EnsembleID,P3181SPE,S601PE
ENSG00000044090,2.344666112,0.704810885
ENSG00000044115,6.350220172,6.490922766
ENSG00000044446,3.860966148,3.832478736
ENSG00000044459,8.253841152,3.949297988
ENSG00000044574,5.101452684,3.832478736
ENSG00000046647,2.344666112,0.041479546
ENSG00000046651,6.663708928,0.704810885
ENSG00000046889,1.500437039,2.388052975
ENSG00000047056,4.737730682,4.157893529
ENSG00000047188,4.87681087,4.539616181
ENSG00000047230,3.860966148,0.704810885
ENSG00000047249,3.670151268,4.340103662
ENSG00000047315,5.245325777,5.918973676
ENSG00000047346,5.671926515,5.81504497
ENSG00000047365,4.713188991,5.703044204
ENSG00000047410,7.237341629,7.246222735
ENSG00000047578,3.326213081,0.041479546
ENSG00000047579,3.768711125,6.646089771
ENSG00000047597,7.556438332,7.211556606
ENSG00000047617,5.927967629,6.204011582
ENSG00000047621,3.326213081,4.647294863
ENSG00000047634,2.684709857,0.041479546
ENSG00000047644,6.435205975,6.556848084
ENSG00000047648,7.283913324,4.714860015
ENSG00000047662,0.564814766,0.041479546
ENSG00000047849,4.528607672,7.681507833
ENSG00000047932,3.720272691,4.871104102
ENSG00000048028,2.959696209,1.779141081
ENSG00000048052,7.320930008,5.875346224
ENSG00000048140,1.713393569,5.890035786
ENSG00000048162,2.063285685,0.041479546
ENSG00000048342,0.041479546,3.238762444
ENSG00000048392,4.983273164,5.634910086
ENSG00000048405,4.283947761,5.918973676
ENSG00000048462,0.564814766,1.779141081
ENSG00000048471,5.566271411,4.463089291
ENSG00000048540,0.041479546,2.011846248
ENSG00000048544,2.467137833,1.779141081
ENSG00000048545,0.041479546,1.157492132
ENSG00000048649,8.108507656,5.988876489
ENSG00000048707,5.45226292,5.06481088
ENSG00000048740,7.928338993,6.619892067
ENSG00000048828,6.931764891,6.730131288
ENSG00000048991,7.078287048,7.361386766
ENSG00000049089,1.500437039,0.041479546
ENSG00000049130,4.610621411,4.871104102
ENSG00000049167,1.898921006,0.041479546
ENSG00000049192,5.295782508,4.296662856
ENSG00000049239,2.873729037,0.041479546
ENSG00000049245,8.188577943,6.70542885
ENSG00000049246,2.873729037,4.057362515
ENSG00000049247,1.25051005,2.544798606
ENSG00000049249,1.25051005,0.041479546
ENSG00000049323,9.341231167,7.170031038
ENSG00000049449,0.564814766,0.041479546
ENSG00000049540,0.041479546,1.501543852
ENSG00000049541,3.508407343,0.041479546
ENSG00000049618,6.550517605,5.038680589
ENSG00000049656,3.389535734,3.04234942
ENSG00000049759,3.190565518,0.041479546
ENSG00000049768,0.564814766,0.041479546
ENSG00000049769,1.25051005,0.041479546
ENSG00000049860,4.144065593,0.041479546
ENSG00000049883,1.713393569,0.704810885
ENSG00000050130,5.758425007,3.949297988
ENSG00000050165,0.948022465,1.157492132
ENSG00000050327,1.500437039,0.041479546
ENSG00000050344,1.500437039,0.041479546
ENSG00000050393,9.289256251,6.58420495
ENSG00000050405,3.768711125,4.108503505
ENSG00000050426,3.720272691,4.157893529
ENSG00000050438,2.344666112,3.327773936
ENSG00000050628,3.450195503,0.041479546
ENSG00000050730,1.898921006,0.041479546
ENSG00000050748,5.593419398,6.519546126
ENSG00000050820,0.041479546,2.544798606
ENSG00000051009,2.873729037,0.041479546
ENSG00000051108,3.326213081,2.212177794
ENSG00000051128,2.873729037,0.041479546
ENSG00000051180,0.948022465,0.041479546
ENSG00000051341,4.029466056,2.212177794
ENSG00000051382,8.215038546,6.870072242
ENSG00000051523,6.373899016,6.168303347
ENSG00000051596,0.948022465,0.041479546
ENSG00000051620,5.193040221,4.647294863
ENSG00000051825,6.079664746,5.719586567
ENSG00000052126,6.11756106,5.01206828
ENSG00000052723,3.720272691,5.617361632
ENSG00000052749,5.671926515,5.408771768
ENSG00000052795,3.450195503,3.490843111
ENSG00000052802,1.713393569,2.388052975
ENSG00000052841,4.411457855,4.747491891
ENSG00000053108,0.564814766,0.704810885
ENSG00000053254,6.276758501,7.063908707
ENSG00000053328,1.25051005,2.011846248
ENSG00000053371,4.662816507,2.011846248
ENSG00000053372,2.467137833,0.041479546
ENSG00000053501,3.670151268,0.041479546
ENSG00000053524,4.983273164,1.501543852
ENSG00000053747,0.564814766,0.041479546
ENSG00000053770,4.441649138,2.686170825
ENSG00000053900,3.670151268,4.501860092
ENSG00000053918,3.190565518,0.041479546
ENSG00000054116,3.508407343,0.041479546
ENSG00000054118,6.973693413,5.258384306
ENSG00000054148,3.326213081,0.041479546
ENSG00000054219,1.25051005,0.041479546
ENSG00000054267,7.737705539,5.038680589
ENSG00000054277,2.684709857,5.860505553
ENSG00000054282,6.64436843,6.029248117
ENSG00000054356,3.450195503,4.423247727
ENSG00000054523,5.496078629,3.411611281
ENSG00000054598,0.948022465,4.841179732
ENSG00000054611,5.45226292,6.391189605
ENSG00000054654,6.435205975,7.263248354
ENSG00000054690,0.041479546,2.933110579
ENSG00000054793,7.014437717,6.068520692
ENSG00000054965,3.815575932,5.367379435
ENSG00000054967,5.193040221,1.157492132
ENSG00000054983,2.580021453,2.933110579
ENSG00000055044,6.318031431,0.041479546
ENSG00000055070,5.758425007,3.143895889
ENSG00000055130,5.063125167,6.215720588
ENSG00000055147,5.210680126,6.180304562
ENSG00000055163,6.611546699,6.935261048
ENSG00000055208,7.380589025,7.070372026
ENSG00000055211,3.768711125,6.528962424
ENSG00000055332,5.970005061,5.302975271
ENSG00000055483,3.117638349,4.841179732
ENSG00000055609,9.40295337,8.090502586
ENSG00000055917,6.983987873,8.544971245
ENSG00000055950,3.815575932,0.041479546
ENSG00000056050,2.467137833,0.041479546
ENSG00000056097,6.650844114,6.284046498
ENSG00000056277,0.948022465,5.06481088
ENSG00000056558,2.580021453,4.296662856
ENSG00000056586,7.00435901,5.302975271
ENSG00000056972,2.959696209,0.704810885
ENSG00000056998,0.041479546,1.157492132
ENSG00000057019,3.190565518,0.041479546
ENSG00000057252,4.215701366,4.57640932
ENSG00000057294,3.450195503,0.041479546
ENSG00000057608,8.308108771,7.936276585
ENSG00000057657,4.411457855,1.501543852
ENSG00000057663,4.411457855,5.56339801
ENSG00000057704,4.106868108,2.933110579
ENSG00000057757,4.785596056,6.15620146
ENSG00000057935,3.389535734,4.681472934
ENSG00000058056,2.467137833,4.539616181
ENSG00000058063,6.259912946,5.904577285
ENSG00000058091,6.564304479,4.251873293
ENSG00000058262,3.564361186,5.324764348
ENSG00000058272,8.251712614,7.779434581
ENSG00000058335,0.564814766,0.041479546
ENSG00000058453,2.344666112,1.157492132
ENSG00000058600,3.508407343,4.004341832
ENSG00000058668,4.737730682,0.041479546
ENSG00000058673,7.00435901,5.735941399
ENSG00000058729,2.782312853,5.115693109
ENSG00000058799,2.959696209,2.544798606
ENSG00000058804,3.117638349,0.041479546
ENSG00000058866,5.99057319,3.770319097
ENSG00000059122,1.25051005,0.041479546
ENSG00000059145,3.508407343,4.61228741
ENSG00000059377,6.855323508,3.565949184
ENSG00000059378,3.190565518,2.011846248
ENSG00000059573,2.467137833,3.143895889
