EnsembleID,P3256PE,P3013PE,P3302PE,P3078PE
ENSG00000178404,2.793736963,2.542644991,3.558177786,1.088752109
ENSG00000178425,3.901732235,4.027591115,3.906575275,3.825969194
ENSG00000178429,2.17969193,1.088752109,1.088752109,2.477977306
ENSG00000178440,1.898922375,1.088752109,1.088752109,1.088752109
ENSG00000178445,1.088752109,1.456022994,1.088752109,2.866569266
ENSG00000178449,3.553553716,4.490252064,3.097915969,4.397140402
ENSG00000178458,2.616596106,3.791032436,2.418015942,3.639194549
ENSG00000178460,1.088752109,1.456022994,1.088752109,1.088752109
ENSG00000178462,1.088752109,1.991583045,1.088752109,2.866569266
ENSG00000178464,2.793736963,1.748513077,4.186989936,2.866569266
ENSG00000178467,3.738121214,1.456022994,3.906575275,1.088752109
ENSG00000178498,3.093675361,1.748513077,2.418015942,1.088752109
ENSG00000178502,3.223098796,1.991583045,3.097915969,1.944494569
ENSG00000178537,3.223098796,3.155363047,2.418015942,3.991311731
ENSG00000178538,2.17969193,1.456022994,1.088752109,1.088752109
ENSG00000178562,5.060678016,5.61439458,5.229546028,3.639194549
ENSG00000178567,4.709488119,3.342389135,5.100197867,1.088752109
ENSG00000178573,5.314129748,2.542644991,4.800462183,3.172394178
ENSG00000178585,4.416586093,5.520618406,4.421669871,4.8052325
ENSG00000178605,5.47870341,3.50792863,4.186989936,4.972834917
ENSG00000178607,5.9592741,5.461280033,5.90787848,5.049858379
ENSG00000178623,2.17969193,1.456022994,1.088752109,1.088752109
ENSG00000178636,1.898922375,1.748513077,1.088752109,1.088752109
ENSG00000178665,1.898922375,1.748513077,1.088752109,1.088752109
ENSG00000178685,4.836290223,3.427531898,4.623462389,2.866569266
ENSG00000178691,6.83665735,8.014783997,5.983188686,7.77554563
ENSG00000178694,4.989690367,2.199544088,3.906575275,4.139638344
ENSG00000178695,6.546374206,4.450118142,5.655029262,6.07826419
ENSG00000178700,2.17969193,1.088752109,3.097915969,1.088752109
ENSG00000178718,2.414620149,1.088752109,1.088752109,1.944494569
ENSG00000178719,5.342895679,3.25190465,5.229546028,4.274126854
ENSG00000178726,2.951486868,1.991583045,2.418015942,1.088752109
ENSG00000178732,3.553553716,5.289964508,5.655029262,3.424592397
ENSG00000178741,5.060678016,5.481331895,3.558177786,5.923132374
ENSG00000178752,1.088752109,1.456022994,1.088752109,1.088752109
ENSG00000178761,4.18200527,3.342389135,4.623462389,2.866569266
ENSG00000178764,4.61830537,2.819623921,5.348245381,3.825969194
ENSG00000178789,2.414620149,1.088752109,2.418015942,1.088752109
ENSG00000178802,3.223098796,1.991583045,2.418015942,1.088752109
ENSG00000178814,1.898922375,2.199544088,1.088752109,1.088752109
ENSG00000178852,6.805994169,9.051377673,4.958100236,9.05675339
ENSG00000178860,1.898922375,2.199544088,3.097915969,2.477977306
ENSG00000178878,1.549975946,1.748513077,2.418015942,1.088752109
ENSG00000178896,2.951486868,2.687771322,2.418015942,3.172394178
ENSG00000178904,3.822244802,4.640475531,3.097915969,3.424592397
ENSG00000178913,6.117479111,6.436337275,5.655029262,5.881595221
ENSG00000178917,2.616596106,2.199544088,3.097915969,2.477977306
ENSG00000178921,3.97706794,1.456022994,4.421669871,3.424592397
