EnsembleID,P3258NP,P3271NP,P3277NP,P3179NP,P3278NP,P3347NP,P3102NP,P3062NP,P3350NP,P3140NP
ENSG00000211785,0.739374661,0.20279497,0.20279497,0.20279497,0.68158969,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000211786,0.20279497,0.20279497,0.20279497,0.53161028,0.20279497,0.20279497,0.20279497,1.251363748,0.20279497,0.20279497
ENSG00000211788,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.544347218,1.84511817,0.942446776
ENSG00000211789,0.739374661,0.20279497,0.20279497,0.53161028,0.68158969,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000211790,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000211791,1.129598361,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.820317646,0.20279497,0.20279497
ENSG00000211792,0.739374661,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,1.426585717,0.20279497,0.20279497
ENSG00000211793,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000211794,0.739374661,0.20279497,1.293251249,0.20279497,0.20279497,0.20279497,0.20279497,1.251363748,0.20279497,0.20279497
ENSG00000211795,0.739374661,0.555240179,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.820317646,0.20279497,0.20279497
ENSG00000211796,0.20279497,0.20279497,0.20279497,0.20279497,0.68158969,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000211797,0.20279497,0.20279497,0.20279497,0.799217965,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.942446776
ENSG00000211799,0.20279497,0.20279497,0.20279497,0.53161028,0.68158969,0.20279497,0.20279497,1.05187958,0.20279497,0.20279497
ENSG00000211800,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,3.909570704,0.20279497,0.820317646,0.20279497,0.20279497
ENSG00000211801,1.129598361,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000211802,0.20279497,0.20279497,0.20279497,0.20279497,0.68158969,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000211803,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,1.426585717,0.20279497,0.20279497
ENSG00000211804,0.20279497,0.20279497,1.293251249,0.20279497,0.68158969,0.20279497,0.20279497,0.820317646,0.20279497,0.20279497
ENSG00000211806,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,1.05187958,0.20279497,0.20279497
ENSG00000211807,0.20279497,0.20279497,0.20279497,0.53161028,0.20279497,0.20279497,0.20279497,1.852159161,0.20279497,0.20279497
ENSG00000211809,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000211810,0.20279497,0.20279497,1.293251249,0.20279497,1.327610628,0.20279497,0.20279497,1.723762462,0.20279497,0.20279497
ENSG00000211814,0.20279497,0.20279497,0.20279497,0.53161028,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000211815,0.20279497,0.20279497,0.20279497,0.20279497,0.68158969,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000211816,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.942446776
ENSG00000211818,0.739374661,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000211821,0.20279497,0.20279497,0.20279497,0.799217965,0.20279497,0.20279497,0.20279497,0.820317646,0.20279497,0.20279497
ENSG00000211829,2.663614988,1.455945291,3.822693561,2.034597577,1.95188879,0.20279497,2.836949859,3.192860205,2.59328722,1.792231716
ENSG00000211844,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,1.232511218,0.20279497,0.20279497,0.20279497
ENSG00000211845,0.20279497,0.20279497,0.20279497,0.53161028,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000211890,0.20279497,1.074771133,0.20279497,5.575924269,0.68158969,0.20279497,1.232511218,4.52222961,1.84511817,0.20279497
ENSG00000211891,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,1.232511218,0.544347218,0.20279497,0.20279497
ENSG00000211892,0.739374661,0.20279497,0.20279497,1.926936282,0.68158969,0.20279497,0.20279497,2.805742264,0.20279497,0.20279497
ENSG00000211893,0.739374661,1.277910509,0.20279497,3.848862129,1.327610628,0.20279497,1.232511218,4.909281586,1.84511817,2.530090497
ENSG00000211895,2.540439277,3.657236365,2.336437788,5.836124483,2.719553268,0.20279497,3.425132974,6.889849142,0.20279497,3.267591738
ENSG00000211896,3.589760476,1.277910509,3.357555747,3.878063618,2.815507481,0.20279497,3.060723424,6.973403053,3.739892934,3.378682554
ENSG00000211897,2.405756893,2.218560019,2.336437788,2.477719673,2.6167595,0.20279497,6.933487754,4.442879246,2.59328722,3.015899949
ENSG00000211898,3.158469208,3.543620557,4.066036151,4.610320747,4.572885767,3.909570704,3.425132974,5.140621024,4.370590379,3.668324399
ENSG00000211899,4.486102783,4.222474511,5.373193798,6.594047723,5.758879006,5.418926047,6.191419669,8.276694428,5.495218253,4.732772176
ENSG00000211933,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,1.251363748,0.20279497,0.20279497
ENSG00000211934,0.20279497,0.20279497,0.20279497,1.391770528,0.68158969,0.20279497,0.20279497,0.820317646,0.20279497,0.20279497
ENSG00000211935,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.820317646,0.20279497,0.20279497
ENSG00000211937,0.20279497,0.20279497,0.20279497,1.391770528,0.20279497,0.20279497,1.827244654,0.20279497,0.20279497,0.20279497
ENSG00000211938,0.20279497,0.20279497,0.20279497,1.810588136,1.040462049,0.20279497,0.20279497,3.49777348,0.20279497,0.20279497
ENSG00000211941,0.20279497,0.555240179,0.20279497,0.53161028,0.20279497,0.20279497,0.20279497,0.820317646,0.20279497,0.20279497
ENSG00000211942,0.20279497,0.20279497,0.20279497,1.024868161,1.040462049,0.20279497,0.20279497,1.251363748,0.20279497,0.20279497
ENSG00000211943,2.257194384,0.20279497,0.20279497,1.545286854,0.20279497,0.20279497,1.232511218,2.447581221,0.20279497,0.20279497
ENSG00000211945,0.20279497,0.555240179,1.293251249,1.926936282,0.20279497,0.20279497,0.20279497,3.875587425,0.20279497,1.429023308
ENSG00000211946,0.20279497,0.20279497,0.20279497,0.20279497,0.68158969,0.20279497,0.20279497,0.820317646,0.20279497,0.20279497
ENSG00000211947,0.20279497,0.20279497,0.20279497,1.810588136,0.68158969,0.20279497,0.20279497,3.192860205,0.20279497,0.20279497
ENSG00000211949,0.739374661,1.757167165,1.293251249,2.399320868,0.20279497,0.20279497,2.247142917,3.33149367,0.20279497,0.942446776
ENSG00000211950,0.20279497,0.20279497,0.20279497,0.53161028,0.68158969,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000211951,0.20279497,0.555240179,0.20279497,0.20279497,0.68158969,0.20279497,0.20279497,1.251363748,0.20279497,0.20279497
ENSG00000211955,0.739374661,0.555240179,0.20279497,1.810588136,0.20279497,4.457224861,0.20279497,2.805742264,1.84511817,0.942446776
ENSG00000211956,1.4364307,0.555240179,1.907147936,2.134779552,0.20279497,0.20279497,0.20279497,2.180372087,0.20279497,0.20279497
ENSG00000211957,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,1.232511218,0.20279497,0.20279497,0.20279497
ENSG00000211959,0.20279497,0.20279497,1.293251249,0.20279497,0.20279497,0.20279497,0.20279497,2.805742264,0.20279497,0.20279497
ENSG00000211962,0.739374661,0.20279497,0.20279497,2.034597577,0.20279497,0.20279497,0.20279497,1.852159161,0.20279497,0.20279497
ENSG00000211964,0.20279497,0.20279497,1.293251249,1.024868161,0.20279497,0.20279497,0.20279497,1.970056863,0.20279497,0.20279497
ENSG00000211965,0.20279497,0.20279497,0.20279497,0.799217965,0.20279497,0.20279497,1.232511218,1.426585717,0.20279497,0.20279497
ENSG00000211966,0.20279497,0.20279497,0.20279497,1.926936282,0.20279497,0.20279497,1.232511218,2.526680341,0.20279497,0.20279497
ENSG00000211967,0.20279497,0.20279497,0.20279497,1.926936282,0.20279497,0.20279497,0.20279497,2.805742264,0.20279497,0.942446776
ENSG00000211968,0.20279497,0.20279497,0.20279497,0.53161028,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000211970,0.20279497,0.20279497,1.293251249,1.219951751,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000211972,0.20279497,0.20279497,0.20279497,0.53161028,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000211973,0.739374661,0.555240179,0.20279497,0.799217965,0.20279497,0.20279497,0.20279497,2.447581221,0.20279497,0.20279497
ENSG00000211976,0.20279497,0.20279497,0.20279497,0.799217965,0.20279497,0.20279497,0.20279497,0.820317646,0.20279497,0.20279497
ENSG00000211978,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000212123,0.20279497,0.20279497,0.20279497,0.799217965,0.20279497,0.20279497,1.232511218,0.544347218,0.20279497,0.942446776
ENSG00000212124,0.20279497,0.20279497,0.20279497,0.53161028,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000212125,0.739374661,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000212126,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000212127,0.20279497,1.074771133,0.20279497,0.53161028,0.20279497,0.20279497,0.20279497,1.251363748,0.20279497,0.20279497
ENSG00000212128,0.739374661,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,1.251363748,0.20279497,0.20279497
ENSG00000212135,2.091558607,2.006230456,0.20279497,3.442711132,1.040462049,0.20279497,3.254403493,3.611002916,3.448705053,0.20279497
ENSG00000212153,0.20279497,0.20279497,0.20279497,0.53161028,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000212156,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000212158,0.20279497,0.555240179,0.20279497,2.228454232,0.20279497,0.20279497,0.20279497,2.601667158,0.20279497,0.20279497
ENSG00000212163,0.20279497,0.20279497,0.20279497,1.219951751,0.20279497,0.20279497,1.232511218,1.05187958,0.20279497,0.20279497
ENSG00000212171,0.20279497,0.20279497,0.20279497,0.20279497,0.68158969,0.20279497,0.20279497,0.20279497,2.59328722,0.20279497
ENSG00000212176,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000212195,0.20279497,0.555240179,1.293251249,1.545286854,1.040462049,0.20279497,1.232511218,1.582812426,1.84511817,0.20279497
ENSG00000212224,0.739374661,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000212232,5.378371678,4.834955685,4.539080738,7.475088362,2.6167595,3.909570704,6.800166505,7.350221942,7.001460149,3.147227648
ENSG00000212242,0.20279497,0.555240179,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,1.05187958,0.20279497,0.942446776
ENSG00000212283,4.016869247,3.083406465,3.161912678,5.767559269,1.772234861,3.909570704,5.545550986,6.084578663,5.414919916,2.082144396
ENSG00000212296,0.20279497,0.20279497,0.20279497,0.53161028,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000212308,0.739374661,0.20279497,0.20279497,0.53161028,0.20279497,0.20279497,0.20279497,0.20279497,1.84511817,0.20279497
ENSG00000212309,0.739374661,0.20279497,0.20279497,1.926936282,0.20279497,0.20279497,0.20279497,1.426585717,0.20279497,0.20279497
ENSG00000212331,0.20279497,0.20279497,0.20279497,0.53161028,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000212402,2.777096361,2.006230456,1.907147936,3.878063618,1.040462049,0.20279497,2.836949859,4.22301218,1.84511817,0.20279497
ENSG00000212409,0.739374661,0.555240179,2.336437788,1.024868161,0.68158969,0.20279497,3.254403493,1.251363748,0.20279497,1.792231716
ENSG00000212418,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000212433,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000212443,0.739374661,2.218560019,0.20279497,4.949867583,0.20279497,0.20279497,3.060723424,4.52222961,2.59328722,0.20279497
ENSG00000212447,1.904409574,1.074771133,0.20279497,3.518847345,0.20279497,0.20279497,3.254403493,3.49777348,1.84511817,0.20279497
ENSG00000212455,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000212464,3.459814877,2.783183759,2.935513219,5.235853018,1.95188879,3.016034257,4.164669893,4.83352711,4.189366845,1.792231716
ENSG00000212510,0.20279497,0.555240179,0.20279497,0.53161028,0.20279497,0.20279497,0.20279497,1.05187958,0.20279497,0.20279497
ENSG00000212512,0.20279497,0.838266503,1.293251249,0.53161028,1.040462049,0.20279497,1.232511218,0.544347218,1.84511817,1.429023308
ENSG00000212534,0.20279497,0.20279497,0.20279497,1.219951751,0.20279497,0.20279497,1.232511218,1.723762462,0.20279497,0.20279497
ENSG00000212550,0.20279497,0.20279497,0.20279497,0.53161028,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000212569,1.129598361,1.277910509,0.20279497,0.53161028,0.20279497,0.20279497,0.20279497,0.820317646,0.20279497,0.20279497
ENSG00000212579,0.20279497,0.555240179,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000212588,0.20279497,0.555240179,0.20279497,1.926936282,0.20279497,0.20279497,1.232511218,1.852159161,0.20279497,0.20279497
ENSG00000212605,0.20279497,0.20279497,0.20279497,0.53161028,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000212607,1.129598361,0.838266503,1.907147936,3.442711132,0.20279497,0.20279497,1.827244654,3.039474869,3.083489023,0.20279497
ENSG00000212609,2.777096361,2.218560019,3.52980822,2.228454232,2.111628062,3.016034257,3.577779328,2.526680341,3.448705053,2.082144396
ENSG00000212615,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000212643,0.20279497,0.555240179,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.942446776
ENSG00000212657,0.739374661,0.555240179,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000212658,0.20279497,0.555240179,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000212664,1.129598361,1.277910509,1.293251249,1.024868161,1.327610628,3.016034257,3.715808943,1.426585717,3.982063839,1.429023308
ENSG00000212694,5.18629071,5.177301197,4.762792953,5.166538506,4.800990852,0.20279497,4.345695426,4.422340458,3.982063839,4.891064489
ENSG00000212719,0.739374661,0.838266503,0.20279497,0.20279497,0.68158969,0.20279497,1.232511218,0.820317646,0.20279497,2.082144396
ENSG00000212722,0.739374661,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000212724,0.20279497,0.20279497,0.20279497,0.20279497,0.68158969,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000212743,0.20279497,0.20279497,0.20279497,1.391770528,0.20279497,0.20279497,1.232511218,1.251363748,0.20279497,0.20279497
ENSG00000212747,1.689312795,2.314050814,1.907147936,1.545286854,2.111628062,0.20279497,0.20279497,1.426585717,0.20279497,2.082144396
ENSG00000212766,0.20279497,0.555240179,0.20279497,0.799217965,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000212789,1.689312795,1.277910509,2.336437788,0.20279497,1.040462049,3.909570704,2.836949859,0.20279497,1.84511817,2.710820306
ENSG00000212802,0.20279497,0.555240179,2.336437788,0.799217965,1.327610628,3.016034257,1.827244654,0.544347218,3.448705053,1.792231716
ENSG00000212829,0.20279497,0.20279497,1.293251249,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000212864,3.239908817,3.891990797,2.336437788,2.754593985,2.905475798,0.20279497,3.577779328,3.192860205,0.20279497,4.115945632
ENSG00000212899,0.20279497,0.20279497,0.20279497,0.20279497,0.68158969,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000212907,10.71213656,10.23142117,10.71027733,9.684458474,10.66710345,3.909570704,9.963731189,8.957225781,9.419712316,10.57909343
ENSG00000212916,1.689312795,1.455945291,1.907147936,1.926936282,2.255430476,0.20279497,1.232511218,1.852159161,0.20279497,1.429023308
ENSG00000212935,0.739374661,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000212978,0.739374661,0.555240179,0.20279497,1.024868161,1.327610628,0.20279497,1.827244654,1.251363748,1.84511817,1.429023308
ENSG00000212993,0.20279497,0.20279497,0.20279497,0.799217965,0.68158969,0.20279497,0.20279497,1.05187958,0.20279497,0.20279497
ENSG00000212994,0.739374661,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000213005,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000213013,0.20279497,0.20279497,1.293251249,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000213015,2.980348133,3.657236365,2.935513219,4.117262588,2.386189506,3.909570704,4.064858939,4.442879246,3.739892934,3.98160101
ENSG00000213020,2.663614988,2.91086166,1.293251249,3.660032256,3.351985821,0.20279497,3.425132974,4.292560214,3.739892934,2.710820306
ENSG00000213024,3.459814877,3.237501981,4.066036151,4.949867583,3.925364487,0.20279497,3.957626039,4.848999573,5.143127902,4.296570368
ENSG00000213025,0.739374661,0.555240179,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000213026,1.4364307,1.277910509,1.293251249,0.799217965,0.68158969,0.20279497,0.20279497,1.05187958,0.20279497,1.429023308
ENSG00000213030,0.20279497,0.555240179,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.942446776
ENSG00000213033,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000213036,0.739374661,1.277910509,1.293251249,0.53161028,1.566983978,0.20279497,1.232511218,0.20279497,0.20279497,1.429023308
ENSG00000213041,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.942446776
ENSG00000213047,6.099280984,6.259883,5.279738717,5.435661622,5.435564724,0.20279497,5.719748524,5.153139754,3.982063839,5.900533549
ENSG00000213048,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.942446776
ENSG00000213050,1.689312795,1.455945291,0.20279497,0.20279497,1.040462049,3.016034257,1.232511218,0.20279497,0.20279497,1.792231716
ENSG00000213051,1.129598361,0.20279497,0.20279497,0.20279497,0.68158969,0.20279497,0.20279497,0.544347218,0.20279497,0.942446776
ENSG00000213057,0.20279497,0.555240179,0.20279497,1.219951751,0.20279497,0.20279497,0.20279497,1.251363748,0.20279497,0.20279497
ENSG00000213058,0.20279497,0.555240179,0.20279497,0.20279497,2.386189506,0.20279497,0.20279497,0.20279497,0.20279497,1.429023308
ENSG00000213062,0.20279497,0.20279497,0.20279497,0.20279497,0.68158969,0.20279497,0.20279497,0.544347218,0.20279497,0.20279497
ENSG00000213064,4.106451868,4.570677015,3.822693561,5.548941507,3.967748902,3.909570704,3.715808943,5.562733542,3.739892934,4.050336537
ENSG00000213066,3.239908817,2.91086166,3.683670591,3.481281428,2.905475798,0.20279497,3.577779328,3.934790935,3.448705053,2.710820306
ENSG00000213067,0.739374661,0.20279497,0.20279497,0.53161028,0.68158969,0.20279497,0.20279497,0.20279497,0.20279497,0.942446776
ENSG00000213068,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,1.232511218,0.544347218,1.84511817,0.20279497
ENSG00000213070,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,1.232511218,0.20279497,1.84511817,0.20279497
ENSG00000213071,0.20279497,0.20279497,0.20279497,0.20279497,0.68158969,0.20279497,0.20279497,1.582812426,0.20279497,0.20279497
ENSG00000213073,1.129598361,0.555240179,0.20279497,1.545286854,0.20279497,0.20279497,0.20279497,2.07904354,0.20279497,0.20279497
ENSG00000213077,0.739374661,0.20279497,0.20279497,0.799217965,0.20279497,0.20279497,1.232511218,0.544347218,0.20279497,0.20279497
ENSG00000213079,6.754450766,6.739965777,6.047549342,6.167091476,6.245888418,5.418926047,6.191419669,5.997011104,5.901023125,6.561094656
ENSG00000213080,1.689312795,0.555240179,0.20279497,0.799217965,0.68158969,3.016034257,1.827244654,0.544347218,1.84511817,2.323433549
ENSG00000213083,0.20279497,0.20279497,0.20279497,0.53161028,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000213085,4.345991919,5.189943885,4.617569631,4.117262588,4.652995577,3.016034257,4.064858939,3.715988659,2.59328722,5.033693423
ENSG00000213087,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,3.016034257,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000213088,0.739374661,0.20279497,0.20279497,0.20279497,0.68158969,0.20279497,0.20279497,0.20279497,0.20279497,0.942446776
ENSG00000213089,0.20279497,0.20279497,0.20279497,0.799217965,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497,0.20279497
ENSG00000213090,2.257194384,1.277910509,1.293251249,0.53161028,0.68158969,0.20279497,1.827244654,1.970056863,1.84511817,2.323433549
