EnsembleID,P3240SPE,P3072PE,P3330PE,P3113SPE
ENSG00000188167,3.320682329,4.073925384,4.057074522,2.721750054
ENSG00000188171,4.122032662,2.873298476,2.297582008,3.409117527
ENSG00000188176,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000188177,9.902629317,8.284339847,9.370162081,8.899868306
ENSG00000188185,1.362028924,1.362028924,2.297582008,2.196479516
ENSG00000188186,4.885358217,6.207976388,5.485300064,4.989177979
ENSG00000188191,8.060828397,2.873298476,5.87949169,5.97646405
ENSG00000188206,2.199859906,1.362028924,2.297582008,3.77005544
ENSG00000188215,2.726445499,1.362028924,2.297582008,3.105989111
ENSG00000188219,1.970750446,1.362028924,1.362028924,1.362028924
ENSG00000188227,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000188229,8.700846233,6.112019471,7.460780202,7.194848458
ENSG00000188234,2.726445499,1.362028924,1.362028924,2.721750054
ENSG00000188242,1.698259332,2.873298476,1.362028924,1.83876202
ENSG00000188243,4.17687333,6.610417862,5.558938933,6.341319693
ENSG00000188257,1.362028924,1.362028924,2.860406165,1.362028924
ENSG00000188266,1.970750446,1.362028924,1.362028924,2.482889605
ENSG00000188283,2.726445499,1.362028924,2.860406165,3.539723606
ENSG00000188290,1.362028924,2.873298476,2.297582008,1.83876202
ENSG00000188295,2.39752232,1.362028924,3.264245782,2.482889605
ENSG00000188305,1.698259332,1.362028924,1.362028924,3.65948132
ENSG00000188312,3.503428133,3.595062759,3.837922805,2.482889605
ENSG00000188313,5.871956035,3.595062759,6.092857127,4.504732895
ENSG00000188315,2.571337666,3.595062759,1.362028924,3.968626535
ENSG00000188321,2.866484304,1.362028924,2.860406165,3.105989111
ENSG00000188322,1.362028924,2.873298476,1.362028924,3.265500105
ENSG00000188338,1.362028924,1.362028924,2.860406165,1.362028924
ENSG00000188342,4.747229525,5.647880738,4.057074522,4.942715889
ENSG00000188343,4.122032662,1.362028924,3.837922805,2.721750054
ENSG00000188352,6.418690375,4.073925384,5.759675983,4.942715889
ENSG00000188372,1.970750446,1.362028924,1.362028924,1.362028924
ENSG00000188375,1.698259332,2.873298476,2.860406165,1.362028924
ENSG00000188388,1.362028924,2.873298476,1.362028924,1.362028924
ENSG00000188389,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000188404,5.676483432,6.678998746,5.558938933,7.123742181
ENSG00000188419,3.219825396,4.073925384,4.057074522,2.926623954
ENSG00000188428,6.407268473,1.362028924,4.247284286,4.793614843
ENSG00000188451,1.698259332,2.873298476,1.362028924,1.362028924
ENSG00000188459,1.698259332,1.362028924,2.297582008,1.362028924
ENSG00000188460,1.970750446,1.362028924,3.264245782,2.482889605
ENSG00000188483,1.362028924,1.362028924,3.264245782,2.721750054
ENSG00000188486,1.970750446,1.362028924,4.247284286,3.65948132
ENSG00000188493,1.970750446,1.362028924,2.860406165,1.83876202
ENSG00000188511,2.39752232,1.362028924,2.860406165,3.409117527
ENSG00000188512,1.698259332,1.362028924,1.362028924,1.362028924
ENSG00000188517,2.726445499,1.362028924,1.362028924,1.83876202
ENSG00000188522,1.698259332,1.362028924,2.860406165,1.83876202
ENSG00000188529,7.270170964,5.898535294,6.555498128,6.661263106
ENSG00000188536,5.838329254,10.20736444,9.275038233,9.047135139
ENSG00000188542,3.879094307,2.873298476,2.297582008,1.83876202
ENSG00000188549,6.143798698,1.362028924,4.56579602,3.409117527
ENSG00000188554,7.442328943,5.778644789,6.51906058,6.129496095
ENSG00000188559,4.32989742,4.959398801,3.837922805,5.610950057
ENSG00000188566,2.994124522,2.873298476,1.362028924,3.105989111
ENSG00000188580,1.698259332,1.362028924,1.362028924,1.83876202
ENSG00000188599,1.970750446,1.362028924,1.362028924,1.83876202
ENSG00000188603,2.199859906,1.362028924,2.297582008,1.83876202
ENSG00000188612,8.594076793,6.867112773,7.340645902,7.363061343
ENSG00000188626,1.698259332,1.362028924,1.362028924,1.362028924
ENSG00000188636,2.199859906,1.362028924,1.362028924,2.926623954
ENSG00000188641,8.075334885,5.778644789,6.987564134,6.661263106
ENSG00000188643,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000188647,3.320682329,4.073925384,4.415312308,4.684900974
ENSG00000188659,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000188672,1.698259332,1.362028924,2.297582008,2.196479516
ENSG00000188677,8.696160711,4.720008595,6.933214553,7.070716888
ENSG00000188681,1.698259332,1.362028924,1.362028924,1.362028924
ENSG00000188687,1.362028924,3.595062759,1.362028924,1.362028924
ENSG00000188690,3.414946844,2.873298476,1.362028924,2.926623954
ENSG00000188706,1.698259332,1.362028924,2.297582008,1.362028924
ENSG00000188707,1.362028924,1.362028924,1.362028924,2.196479516
ENSG00000188725,1.970750446,2.873298476,3.579413189,3.265500105
ENSG00000188730,1.362028924,1.362028924,2.860406165,1.362028924
ENSG00000188732,2.199859906,2.873298476,1.362028924,2.196479516
ENSG00000188735,2.866484304,1.362028924,1.362028924,2.196479516
ENSG00000188738,2.199859906,1.362028924,2.297582008,1.83876202
ENSG00000188739,1.970750446,1.362028924,1.362028924,2.721750054
ENSG00000188747,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000188760,1.362028924,2.873298476,1.362028924,1.362028924
ENSG00000188761,1.362028924,1.362028924,1.362028924,2.196479516
ENSG00000188765,5.31015784,4.959398801,6.141608476,5.034190322
