EnsembleID,P3180PE,P3262PE,P3127PE,P3282PE,P3314SPE,P3228SPE,P3150SPE,P3183PE,P3077PE,P3233SPE
ENSG00000003436,8.648930427,7.946207082,7.07161014,6.800733833,5.68555368,6.464475176,4.275709168,7.276765738,8.373567652,7.413856556
ENSG00000003509,2.935670317,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,2.000492674,1.574066796
ENSG00000003756,7.778753166,7.641604689,7.028213603,6.613582466,6.146934673,5.087751037,4.275709168,7.719976038,7.408366247,7.029389511
ENSG00000003989,1.574066796,2.896877456,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000004059,5.999302388,4.897318536,6.298483796,6.14559624,5.384341868,5.629982372,4.275709168,4.824055498,6.009295651,5.878413741
ENSG00000004139,3.178431512,2.382052177,3.452770467,4.047987249,1.574066796,4.208837981,4.275709168,1.574066796,2.000492674,3.453646688
ENSG00000004142,3.178431512,3.823155467,3.900652216,3.286775746,3.663934896,5.629982372,4.275709168,4.184802157,4.275039391,4.242947895
ENSG00000004399,4.219887489,2.382052177,2.799787412,1.574066796,1.574066796,4.208837981,1.574066796,3.71335061,3.189200783,1.574066796
ENSG00000004455,4.145640486,4.034701779,5.279879018,4.047987249,6.146934673,1.574066796,4.275709168,4.824055498,4.196646083,5.124809365
ENSG00000004468,3.320190157,2.382052177,2.799787412,4.047987249,3.663934896,4.714215374,1.574066796,1.574066796,3.48141923,3.453646688
ENSG00000004478,3.353555515,4.529544072,3.452770467,1.574066796,3.663934896,1.574066796,1.574066796,5.26549101,5.239982831,3.453646688
ENSG00000004487,6.921504668,6.842285799,5.877271324,6.710190764,5.003183857,6.185737685,4.275709168,6.304203881,6.987251604,5.124809365
ENSG00000004534,7.574601193,6.842285799,6.223509974,5.448523715,1.574066796,5.629982372,4.275709168,7.019260867,7.300050896,4.750235845
ENSG00000004660,3.062151057,2.896877456,2.799787412,1.574066796,1.574066796,1.574066796,1.574066796,3.008476976,2.000492674,1.574066796
ENSG00000004700,5.62879187,5.098971572,4.517727852,4.543681726,5.384341868,5.629982372,1.574066796,5.444109091,5.200354375,1.574066796
ENSG00000004766,4.437772475,3.823155467,4.24193384,3.286775746,1.574066796,1.574066796,1.574066796,4.184802157,4.113747026,3.453646688
ENSG00000004776,2.588642865,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000004777,3.021210613,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000004779,3.567720188,5.275864083,3.900652216,4.047987249,3.663934896,1.574066796,1.574066796,5.26549101,5.117674343,1.574066796
ENSG00000004799,2.74768364,4.034701779,2.799787412,4.047987249,3.663934896,1.574066796,4.275709168,3.008476976,2.596754359,1.574066796
ENSG00000004838,1.879110376,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000004846,1.784419047,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,2.000492674,1.574066796
ENSG00000004864,3.650591027,2.896877456,3.900652216,1.574066796,1.574066796,4.714215374,1.574066796,3.71335061,2.329210893,1.574066796
ENSG00000004866,6.602175462,4.529544072,6.564595805,5.205029659,1.574066796,5.629982372,1.574066796,5.061591591,5.585884748,3.453646688
ENSG00000004897,6.679859918,6.813903239,6.624104228,6.277573318,5.384341868,6.023170102,4.275709168,6.304203881,6.424861548,5.421902862
ENSG00000004939,5.008450142,8.430393122,7.30769698,8.998919897,8.378083056,8.459668398,8.745403143,10.35641262,7.610860557,8.499894791
ENSG00000004961,2.588642865,4.034701779,3.452770467,3.286775746,1.574066796,1.574066796,1.574066796,1.574066796,3.189200783,1.574066796
ENSG00000004975,3.062151057,3.27552481,3.452770467,4.047987249,4.483683049,1.574066796,5.160332126,3.008476976,3.017408437,1.574066796
ENSG00000005007,6.163511736,5.356790246,6.437666826,6.14559624,5.003183857,6.464475176,4.275709168,5.061591591,5.914515449,6.224665391
ENSG00000005020,10.19113654,9.851657102,9.452279702,8.85842808,7.471976299,7.232343295,6.0989882,8.950526486,9.912037739,8.331452238
ENSG00000005022,5.392411041,6.219334831,5.775966507,4.911924638,5.003183857,6.464475176,1.574066796,5.26549101,6.076505934,5.421902862
ENSG00000005059,3.062151057,4.529544072,4.749165676,3.286775746,1.574066796,3.424219297,1.574066796,3.71335061,4.487502273,1.574066796
ENSG00000005073,1.574066796,1.574066796,1.574066796,1.574066796,3.663934896,1.574066796,1.574066796,1.574066796,2.329210893,1.574066796
ENSG00000005075,5.257907304,5.275864083,5.123708744,4.911924638,1.574066796,5.087751037,4.275709168,6.208545687,5.200354375,6.061902425
ENSG00000005100,4.10703312,3.823155467,3.452770467,4.047987249,1.574066796,3.424219297,1.574066796,3.71335061,3.724301768,1.574066796
ENSG00000005102,1.784419047,2.382052177,2.799787412,1.574066796,3.663934896,4.208837981,1.574066796,3.008476976,3.017408437,1.574066796
