EnsembleID,P3234PE,P3200PE,P3322PE,P3125PE,P3360SPE.1,P3174PE,S586PE
ENSG00000007520,3.840723646,4.468847826,4.698249073,4.97709813,5.171130378,5.309033755,3.828289842
ENSG00000007541,1.920763351,2.73794616,1.021011534,1.021011534,3.612301316,3.255846671,4.415615087
ENSG00000007545,3.525637768,2.73794616,1.021011534,2.314989466,3.612301316,3.255846671,1.717585159
ENSG00000007866,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,2.04562814
ENSG00000007923,4.007597215,4.251680284,4.168600383,4.067181446,3.612301316,4.093833879,2.904432368
ENSG00000007933,1.021011534,1.838599807,3.322852718,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000007944,4.069292711,3.287734011,4.698249073,2.985988394,3.612301316,1.021011534,5.723277423
ENSG00000007968,2.796730467,6.193860398,4.698249073,2.985988394,6.79222728,6.40568234,3.128746178
ENSG00000008018,5.499810393,5.77180811,5.389384054,4.97709813,5.633151899,4.381055846,6.130170004
ENSG00000008056,1.021011534,1.838599807,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000008083,7.918987238,7.503941148,7.262974915,7.040922841,6.498750133,6.043834575,5.459861484
ENSG00000008086,3.480934629,3.684857269,3.322852718,1.021011534,1.021011534,3.73484667,3.950855444
ENSG00000008118,1.251397792,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000008128,2.86789994,1.021011534,1.021011534,2.314989466,3.966212742,4.381055846,1.021011534
ENSG00000008130,6.23104934,6.193860398,5.0848135,5.619883797,5.530767303,6.340211609,6.961414412
ENSG00000008196,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,2.04562814
ENSG00000008197,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,1.292298233
ENSG00000008226,1.624557885,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000008256,2.721867128,2.357246082,3.322852718,2.314989466,3.612301316,3.255846671,3.493874134
ENSG00000008277,4.157154507,3.848761081,4.168600383,2.314989466,1.021011534,1.021011534,3.439082285
ENSG00000008282,3.909806008,3.287734011,1.021011534,1.021011534,1.021011534,1.021011534,5.345339971
ENSG00000008283,1.920763351,1.838599807,1.021011534,1.021011534,3.142330303,2.5337666,1.292298233
ENSG00000008294,6.467090851,5.889447359,5.0848135,5.78317853,5.420557875,4.381055846,4.934436557
ENSG00000008300,1.251397792,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,2.538011818
ENSG00000008311,1.021011534,2.357246082,1.021011534,1.021011534,1.021011534,3.255846671,1.292298233
ENSG00000008324,2.935722994,3.848761081,3.322852718,2.985988394,3.142330303,4.620480143,3.911146062
ENSG00000008382,4.368237365,5.172712871,1.021011534,3.442193525,1.021011534,5.165212984,3.128746178
ENSG00000008394,2.935722994,3.499916977,1.021011534,1.021011534,1.021011534,1.021011534,3.382127073
ENSG00000008405,3.000500245,3.684857269,3.322852718,4.067181446,3.612301316,1.021011534,5.188085693
ENSG00000008438,2.642905391,4.251680284,4.168600383,1.021011534,2.440797094,5.005451055,4.766574164
ENSG00000008441,4.318290854,5.889447359,5.389384054,5.703840292,8.618524842,5.773204727,4.415615087
ENSG00000008513,4.772338986,5.347364185,5.389384054,4.678223663,7.178241452,6.340211609,6.172772287
