EnsembleID,P3202NP,P3275NP,P3090NP,P3095NP,P3107NP,P3230NP,P3376NP,P3052NP,P3387NP,P3372NP,P3367NP,P3354NP
ENSG00000002587,0.973961385,0.973961385,1.439329451,3.110962301,1.550931715,3.402937205,0.973961385,0.973961385,0.973961385,2.808271045,0.973961385,0.973961385
ENSG00000002726,0.973961385,1.183905135,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,2.903622368,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000002745,0.973961385,1.183905135,1.146307889,0.973961385,0.973961385,2.648672864,0.973961385,0.973961385,0.973961385,2.164894554,2.430668888,0.973961385
ENSG00000002746,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,2.164894554,0.973961385,2.330660671
ENSG00000002822,5.348132154,5.23478482,5.840352447,4.949104724,4.65215956,4.797234869,4.793177495,2.903622368,4.830611096,4.623235717,5.429304899,5.983833309
ENSG00000002834,7.503428811,7.956625463,7.160217388,7.473695273,8.333700682,6.937239906,7.106432449,6.880919061,7.33010089,6.368205132,7.046557463,7.205601693
ENSG00000002919,3.749675919,3.635224136,3.664660857,2.68132932,4.411491025,2.648672864,4.371572819,3.700642946,4.448393462,2.164894554,4.255520413,4.452468357
ENSG00000002933,0.973961385,2.242867482,2.072925691,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,2.399328432,0.973961385,0.973961385,3.666265936
ENSG00000003056,4.366724674,6.214700264,6.325992904,3.710374101,5.678688451,5.186564968,4.198352984,4.211061565,3.572680245,5.639414955,5.179363528,5.21818914
ENSG00000003096,1.765582851,1.929912819,1.566176233,2.066725265,1.550931715,0.973961385,2.106423139,0.973961385,0.973961385,2.808271045,0.973961385,0.973961385
ENSG00000003137,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,2.399328432,0.973961385,0.973961385,0.973961385
ENSG00000003147,5.068401472,5.432748469,3.383828814,5.143272064,6.535319746,5.004993486,3.502357774,4.885488394,5.262623416,3.864411633,5.370760792,3.830736665
ENSG00000003249,1.765582851,1.183905135,1.566176233,0.973961385,1.550931715,2.648672864,0.973961385,2.903622368,0.973961385,3.864411633,2.430668888,2.7144481
ENSG00000003393,3.749675919,3.738603545,4.142933982,2.68132932,3.276633362,0.973961385,2.106423139,0.973961385,2.399328432,2.808271045,3.970214399,2.330660671
ENSG00000003400,4.366724674,4.477112109,5.478465109,3.44157733,3.538859825,2.648672864,2.106423139,4.885488394,2.399328432,2.808271045,5.036023573,5.02792927
ENSG00000003402,7.976183299,8.375506795,8.27043169,8.519179833,8.81723367,8.36313392,8.425827457,8.20193155,8.641423453,8.439703275,7.928265523,8.126441144
ENSG00000003436,7.613302814,8.284479538,5.789251316,8.644796205,8.862841027,7.950962309,7.453451589,7.128605682,8.112732283,7.614803255,5.642271865,6.709836238
ENSG00000003509,1.765582851,2.907373713,4.241273916,3.44157733,2.281471541,0.973961385,0.973961385,2.903622368,2.399328432,2.164894554,2.430668888,2.330660671
ENSG00000003756,7.457023949,7.541220975,7.817193992,7.796046813,8.188416554,7.294662313,7.453451589,7.128605682,7.868875852,7.416262073,7.287144719,7.030575389
ENSG00000003987,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,2.399328432,0.973961385,0.973961385,0.973961385
ENSG00000003989,1.765582851,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,2.903622368,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000004059,5.582333282,5.677886756,4.368576873,5.143272064,6.159961138,4.554441575,4.665858527,5.132455145,5.690262232,5.117930029,5.246024098,5.386256251
ENSG00000004139,2.273814282,2.242867482,4.037397248,0.973961385,1.550931715,0.973961385,2.106423139,0.973961385,3.102141425,2.808271045,1.878854799,0.973961385
ENSG00000004142,3.403205969,3.176470314,3.451129562,3.710374101,2.542895023,5.186564968,5.018375296,5.132455145,4.211087762,2.164894554,3.803170234,3.978361445
ENSG00000004399,4.554744037,5.902279599,6.061057608,2.68132932,2.281471541,0.973961385,3.168355895,2.903622368,3.102141425,4.467612464,3.970214399,3.48060333
ENSG00000004455,4.640297852,4.681212015,5.33439849,2.68132932,4.040171192,4.262352439,5.802972548,5.132455145,4.830611096,3.590322521,5.036023573,4.885544902
ENSG00000004468,3.586816843,2.499888442,4.351064154,2.066725265,2.764135682,0.973961385,2.106423139,2.903622368,3.572680245,2.164894554,3.396740887,3.01729599
ENSG00000004478,5.128855173,3.803624328,5.071151696,4.458795834,3.276633362,4.797234869,4.665858527,5.343260111,4.652123194,4.763694449,5.179363528,6.23938555
ENSG00000004487,6.617190312,6.654354123,5.749701432,6.905634764,7.244781247,6.658464996,6.579603992,6.405077838,6.61461178,6.12943129,6.067835636,6.148774515
ENSG00000004534,6.699221045,7.460353766,8.283184819,6.471576179,7.325183141,6.461032855,7.154656405,6.405077838,6.753917163,7.082468983,7.349108211,7.096704037
ENSG00000004660,2.648899539,3.074772494,3.078008169,2.066725265,2.955916334,0.973961385,2.106423139,3.700642946,3.102141425,2.164894554,3.614220655,3.267468611
ENSG00000004700,5.624934022,5.211013509,5.307411407,5.670071755,5.950610396,5.186564968,4.910165979,5.343260111,5.492230061,5.313459029,5.246024098,5.094176574
